Nome,Tipo,Imagem,Data de Lançamento,Duração em Minutos,Diretor,Soma das Avaliações,Quantidade de Avaliações,sinopse,Gêneros,Numero temporada,Numero Epsodio,Tipos.Serie pertencente
Capítulo 2: A Criança,Episodio,imagens/mandalorian_s1e2.jpg,2019,31,Rick Famuyiwa,0,0,O Mandaloriano protege uma criança poderosa,-,1,2,The Mandalorian
Capítulo 3: O Pecado,Episodio,imagens/mandalorian_s1e3.jpg,2019,37,Deborah Chow,0,0,O herói enfrenta o próprio clã por fazer o certo,-,1,3,The Mandalorian
Capítulo 4: O Refúgio,Episodio,imagens/mandalorian_s1e4.jpg,2019,41,Bryce Dallas Howard,0,0,Refúgio em um planeta isolado vira campo de batalha,-,1,4,The Mandalorian
Capítulo 5: O Pistoleiro,Episodio,imagens/mandalorian_s1e5.jpg,2019,35,Dave Filoni,0,0,1 Mandaloriano cruza com um caçador inexperiente,-,1,5,The Mandalorian
Narcos,Tipos.Serie,imagens/narcos.jpg,2015,49,José Padilha,0,0,A ascensão de Pablo Escobar e do cartel de Medellín,drama&biografia&crime,-,-,-
Descenso,Episodio,imagens/narcos_s1e1.jpg,2015,57,José Padilha,0,0,Escobar começa a construir seu império com cocaína,-,1,1,Narcos
O Ladrão Honesto,Episodio,imagens/narcos_s1e2.jpg,2015,49,José Padilha,0,0,Ascensão do cartel de Medellín,-,1,2,Narcos
A Mão Direita de Deus,Episodio,imagens/narcos_s1e3.jpg,2015,48,José Padilha,0,0,Escobar ganha apoio político e militar,-,1,3,Narcos
A Tacha,Episodio,imagens/narcos_s1e4.jpg,2015,50,José Padilha,0,0,Conflitos internos começam a surgir no cartel,-,1,4,Narcos
O Olho que Tudo Vê,Episodio,imagens/narcos_s1e5.jpg,2015,49,José Padilha,0,0,DEA começa a entender o alcance de Escobar,-,1,5,Narcos
Avatar: A Lenda de Aang,Tipos.Serie,imagens/avatar.jpg,2005,23,Michael Dante DiMartino,0,0,Jovem dobrador do ar tenta salvar o mundo das nações em guerra,aventura&fantasia&animação,-,-,-
O Menino na Tempestade,Episodio,imagens/avatar_s1e1.jpg,2005,23,Giancarlo Volpe,0,0,Katara e Sokka encontram um jovem em um iceberg,-,1,1,Avatar: A Lenda de Aang
O Retorno do Avatar,Episodio,imagens/avatar_s1e2.jpg,2005,23,Giancarlo Volpe,0,0,Aang é reconhecido como o Avatar pelas tribos,-,1,2,Avatar: A Lenda de Aang
O Templo do Ar do Sul,Episodio,imagens/avatar_s1e3.jpg,2005,23,Dave Filoni,0,0,Aang descobre o destino de seu povo,-,1,3,Avatar: A Lenda de Aang
Os Guerreiros de Kyoshi,Episodio,imagens/avatar_s1e4.jpg,2005,23,Giancarlo Volpe,0,0,O grupo visita uma ilha protegida por guerreiras leais,-,1,4,Avatar: A Lenda de Aang
O Rei de Omashu,Episodio,imagens/avatar_s1e5.jpg,2005,23,Anthony Lioi,0,0,Aang reencontra um velho amigo excêntrico,-,1,5,Avatar: A Lenda de Aang
sim,Tipos.Serie,10,10,10,10,0,0,10,10,-,-,-
10,Episodio,10,10,10,10,10,1,10,-,10,10,sim
10,Tipos.Documentario,10,10,10,10,11,2,10,-,-,-,-
